0xff8208d4,GetEventFlagValue
0xffa862f8,GETEVFEVALUATIONVALUEWITHMECHASHUTTER_FW
0xffa864e4,GETEVFEVALUATIONVALUEWITHOUTMECHASHUTTER_FW
0xff81adbc,GetFirmwareVersion_FW
0xffa8ad4c,GetFocusDefaultResetPosition_FW
0xff96a3f8,GetFocusedItemIDOfDialogItem_FW
0xffa7fb14,GetFocusLensCurrentPosition_FW
0xffa7fccc,GetFocusLensMoveCompleteTime_FW
0xffa7fcd8,GetFocusLensNdCoefficientPulse_FW
0xffa7fb64,GetFocusLensResetDefaultPosition_FW
0xffa7fb28,GetFocusLensResetPosition_FW
0xffa7fb3c,GetFocusLensResetPositionForInside_FW
0xffa7fb50,GetFocusLensResetPositionForOutside_FW
0xffa7fcec,GetFocusLensSettingMaxSpeed_FW
0xffa7fd00,GetFocusLensSettingMaxSpeedByDeltaType_FW
0xffa7fdd4,GetFocusLensSubjectDistance_FW
0xffa7fdf8,GetFocusLensSubjectDistanceFromLens_FW
0xffa6ac44,GetFocusPiSensorLevel_FW
0xffa8ad60,GetFocusResetPosition_FW
0xff96a9dc,GetFocusScopeToDialog_FW
0xffa90028,GetHour_FW
0xffa76160,GetIrisAvEvent_FW
0xff96a430,GetItemHandleOfDialogBox_FW
0xff82879c,GetKbdState
0xff82b350,GetLBOffset_FW
0xffa6d97c,GetLensErrorStatus_FW
0xff95c15c,GetLogicalEventName
0xffab8a20,GetLogToFile_FW
0xff94aaa8,GetMacroSupportZoomPoint_FW
0xffa860ec,GETMAINFLASHEVALUATIONVALUE_FW
0xff960370,GetMainPowerLockCounter_FW
0xffa7737c,GetMechaShutterCount_FW
0xffa77334,GetMechaShutterStatusEvent_FW
0xff94aa64,GetMFBarData_FW
0xffa90058,GetMinute_FW
0xffa8fbcc,GetModelId_FW
0xffa8ffc0,GetMonth_FW
0xffa86588,GETMOVIEEVALUATIONVALUEWITHMECHASHUTTER_FW
0xff821610,GetNumberOfPostedMessages
0xffa88608,GetObClampValue_FW
0xff82d584,GetOpticalTemperature
0xff82d584,GetOpticalTemperature_FW
0xff96ec60,GetPaletteFromPhysicalScreen_FW
0xff964cd8,GetParameterData
0xffa8f4f4,GetPixelsOfViewangle_FW
0xffa8619c,GETPREFLASHEVALUATIONVALUE_FW
0xff94ac68,GetProgramShiftLimitNegative_FW
0xff94ac44,GetProgramShiftLimitPositive_FW
0xff825530,GetPropertyCase
0xff96b424,GetPropertyFromDialogItem_FW
0xff969e88,GetPropertyFromDialogItemWithID_FW
0xffa90088,GetSecond_FW
0xff95945c,GetSelfControllerHandle_FW
0xff821d4c,GetSemaphoreValue
0xffa88a58,GetShutterSpeedRegularMaxLimit_FW
0xffa88a7c,GetShutterSpeedRegularMinLimit_FW
0xff820aa0,GetSRAndDisableInterrupt
0xff996420,GetStateOfMovieSequence_FW
0xff81c164,GetStringWithPrompt_FW
0xffa8ebb8,GetSumYOfVRAMCenterLine_FW
0xff827dd0,GetSwitchStatus_FW
0xff81b450,GetSystemTime_FW
0xff814a04,GetTimeOfSystem_FW
0xffa91d70,GetTransparentMemory_FW
0xffa91dc8,GetTransparentMemoryPosition_FW
0xffa91d50,GetTransparentMemorySize_FW
0xffa88a48,GetUserSetShutterSPeed_FW
0xffa8e8c4,GetVideoOutType_FW
0xffa8ff88,GetYear_FW
0xffa74e8c,GetZoomActuatorCurrentPosition_FW
0xffa74e50,GetZoomActuatorLimitAmpere_FW
0xffa74e28,GetZoomActuatorSpeedControlGain_FW
0xffa74e00,GetZoomActuatorSpeedPPS_FW
0xffa8aa5c,GetZoomLensCurrent_FW
0xffa6f178,GetZoomLensCurrentPoint
0xffa6f178,GetZoomLensCurrentPoint_FW
0xffa6f18c,GetZoomLensCurrentPosition
0xffa6f18c,GetZoomLensCurrentPosition_FW
0xffa8a308,GetZoomLensResetPlus_FW
0xffa8aa70,GetZoomLensSpeed_FW
0xffa6f1a0,GetZoomLensTelePoint_FW
0xffa6ac7c,GetZoomPiSensorLevel_FW
0xff821c78,GiveSemaphore
0xff821c78,GiveSemaphore_FW
0xff9580cc,HardwareDefect_FW
0xffa853b8,InactivateAdjLog_FW
0xffa85580,InitializeAdjustmentFunction_FW
0xffa854f0,InitializeAdjustmentSystem_FW
0xffa642a4,InitializeDCPClassFunctions_FW
0xffa979bc,InitializeSoundRec_FW
0xffa94cc8,InitializeTestRec_FW
0xff8a1be8,InPort_FW
0xff96b050,InstallDialogItem_FW
0xff9f8b38,InstallMyCameraMenu_FW
0xff9f5288,InstallPlayMenu_FW
0xff9f3470,InstallRecMenu_FW
0xff9f67f8,InstallSetupMenu_FW
0xffad4854,iosDevAdd
0xffad482c,iosDevDelete
0xffad4b18,iosDrvInstall
