0xff8604e0,PT_PlaySound
0xff8604e0,PT_PlaySound_FW
0xff860534,PT_SetMessage_FW
0xff860558,PT_UndispMessage_FW
0xff860570,PT_LCD_BkColor_FW
0xff8605e8,PT_LCD_BkColorDef_FW
0xff86060c,PT_BatLvChange_PreWeak_FW
0xff860614,PT_BatLvChange_Weak_FW
0xff86061c,PT_BatLvChange_Low_FW
0xff860624,PT_BatLvChange_SysLow_FW
0xff86062c,task_PT_BatTestTask
0xff8606a8,PT_StartBatteryTest_FW
0xff8606e4,PT_FinishBatteryTest_FW
0xff860718,PT_GetBatteryLevel_FW
0xff86072c,PT_GetPreWeakBatLv_FW
0xff860784,PT_GetWeakBatLv_FW
0xff8607dc,PT_GetLowBatLv_FW
0xff8608b4,PT_GetSysLowBatLv_FW
0xff86090c,PT_MoveOpticalZoomToTele_FW
0xff860920,PT_MoveOpticalZoomToWide_FW
0xff860934,PT_MoveOpticalZoomAt
0xff860934,PT_MoveOpticalZoomAt_FW
0xff86094c,PT_ChangeZoomSpeed_FW
0xff86095c,PT_MoveDigitalZoomToTele_FW
0xff86096c,PT_MoveDigitalZoomToWide
0xff86096c,PT_MoveDigitalZoomToWide_FW
0xff86097c,PT_MoveDigitalZoomAt_FW
0xff86098c,PT_DoAFLock_FW
0xff86099c,PT_UnlockAF_FW
0xff8609ac,PT_DoAELock_FW
0xff8609bc,PT_UnlockAE_FW
0xff8609cc,PT_MFOn_FW
0xff8609dc,PT_MFOff_FW
0xff860a0c,RegisterProductTestEvent_FW
0xff860a0c,SS.Create_FW
0xff860fa4,MoveOpticalZoomToTele_FW
0xff860fbc,MoveOpticalZoomToWide_FW
0xff860fd4,MoveOpticalZoomAt_FW
0xff860ff0,ChangeZoomSpeed_FW
0xff861004,MoveDigitalZoomToTele_FW
0xff861014,MoveDigitalZoomToWide_FW
0xff861024,MoveDigitalZoomAt_FW
0xff861038,DoAFLock_FW
0xff861048,UnlockAF_FW
0xff861058,DoAELock_FW
0xff861068,UnlockAE_FW
0xff861078,MFOn_FW
0xff861088,MFOff_FW
0xff8610b0,ShowAllTaskInfo_FW
0xff86237c,GetLogToFile_FW
0xff8625bc,EraseLogSector_FW
0xff864a78,Printf_FW
0xff864a90,UnLoadScript_FW
0xff864f5c,LoadScript_FW
0xff8655c4,LocalTime
0xff865ac8,time
0xff865b78,GetTimeOfSystem_FW
0xff865dec,ExMem.View_FW
0xff8662d8,ExMem_FW
0xff8665b8,ExMem.AllocUncacheable_FW
0xff8666f8,ExMem.FreeUncacheable_FW
0xff86670c,exmem_alloc
0xff866774,ExMem.AllocCacheable_FW
0xff866784,exmem_free
0xff86687c,ExMem.FreeCacheable_FW
0xff867350,SetHPTimerAfterNow
0xff8673d0,SetHPTimerAfterTimeout
0xff867458,CancelHPTimer
0xff867760,PutsCameraLogEvent_FW
0xff8677b0,ShowCameraLogInfo_FW
0xff86781c,ShowCameraLog_FW
0xff867864,StartCameraLog_FW
0xff867a2c,StopCameraLog_FW
0xff867a8c,LogCameraEvent
0xff868290,task_WdtPrint
0xff868344,task_WdtReset
0xff868404,StartWDT_FW
0xff868468,StopWDT_FW
0xff868580,CheckSumAll_FW
0xff8686d0,GetFirmwareVersion_FW
0xff8686d8,GetBuildTime_FW
0xff8686e0,GetBuildDate_FW
0xff8688e8,RomCheckSum_FW
0xff8691c4,task_EvShel
0xffc596b0,NewTaskShell,(stubs_entry_2.s)
0xff869278,NewTaskShell_FW
0xff8696ec,PT_SetPropertyCaseString_FW
0xff8696ec,SetPropertyCase
0xff8697f4,GetPropertyCase
0xff8697f4,PT_GetPropertyCaseString_FW
0xff86a2f0,task_CtrlSrv
0xff86aa68,CreateController_FW
0xff86ab24,DeleteController_FW
0xff86aca8,MoveControllerToTopOfZOrder_FW
0xff86adec,GetSelfControllerHandle_FW
0xff86b218,PostLogicalEventForNotPowerType
0xff86b218,PostLogicalEventForNotPowerType_FW
0xff86b264,PostLogicalEventToUI
0xff86b264,PostLogicalEventToUI_FW
0xff86b2b8,PostEventShootSeqToUI_FW
0xff86b30c,ShowLogicalEventName_FW
0xff86ccec,set_control_event
0xff86cf90,IsControlEventActive_FW
0xff86d000,SetLogicalEventActive
0xff86d050,SetScriptMode
0xff86d050,SetScriptMode_FW
0xff86d078,UiEvnt_StartDisguiseCradleStatus_FW
0xff86d088,UiEvnt_StopDisguiseCradleStatus_FW
0xff86d324,UnlockMainPower
0xff86d324,UnlockMainPower_FW
0xff86d3d0,LockMainPower
0xff86d3d0,LockMainPower_FW
0xff86d444,SetAutoShutdownTime
0xff86d444,SetAutoShutdownTime_FW
0xff86d60c,HardwareDefectWithRestart_FW
0xff86d65c,HardwareDefect_FW
0xff86d86c,PTM_AllResetToFactorySetting_FW
0xff86d87c,j_PTM_AllReset_FW
0xff86dd4c,PTM_SetCurrentCaptureMode_FW
0xff86de80,j_PTM_GetWorkingCaptureMode_FW
0xff86de84,j_PTM_SetCurrentItem_FW
0xff86de90,PTM_GetCurrentItem_FW
0xff86defc,j_PTM_NextItem_FW
0xff86df00,j_PTM_PrevItem_FW
0xff86df14,j_PTM_SetProprietyEnable_FW
0xff86df2c,j_PTM_BackupUIProperty_FW
0xff86df30,PTM_RestoreUIProperty_FW
0xff86ef84,Rec2PB
0xff87058c,PB2Rec
0xff871070,task_InitFileModules
0xff8710a8,task_CommonDrivers
0xff874e2c,SetCurrentCaptureModeType
0xff874e2c,SetCurrentCaptureModeType_FW
0xff874e68,GetCurrentCaptureModeType_FW
0xff878694,UIFS_StartMovieRecord_FW
0xff8786c8,UIFS_StopMovieRecord_FW
0xff8790e0,task_FaceFrame
0xff8792d8,task_DSITask
0xff87a418,TurnOnBackLight
0xff87a430,TurnOffBackLight
0xff884c20,UIFS_StartRecordSound_FW
0xff884c60,UIFS_StopRecordSound_FW
0xff884d20,UIFS_DeleteAllSound_FW
0xff88eac0,FmtMenu_ExecuteQuickFormat_FW
0xff88fbcc,StartGUISystem_FW
0xff88fd18,strcat
0xff88fd54,strncmp
0xff88fda0,strchr
0xff88fdc4,strrchr
0xff88fdec,memcpy
0xff88fdec,memcpy_FW
0xff890060,strftime
0xff890658,mktime_ext
0xff890714,OutPort_FW
0xff89072c,InPort_FW
0xff890738,Capture.Delete_FW
0xff8907a0,Capture.Create_FW
0xff8912f4,GetCurrentShutterSpeed_FW
0xff8915d0,GetCurrentExposureTime_FW
0xff894ab4,task_WBIntegTask
0xff898250,task_AfIntSrvTask
0xff8a2d84,AFTool.PrintStateLog_FW
0xff8a485c,task_BrtMsrTask
0xff8abb58,ExpCtrlTool.EnableUsageCheck_FW
0xff8abb68,ExpCtrlTool.DisableUsageCheck_FW
0xff8abc38,ExpCtrlTool.Sleep_FW
0xff8abc4c,ExpCtrlTool.SleepWithoutExpDrv_FW
0xff8abc60,ExpCtrlTool.Pre_FW
0xff8abc74,ExpCtrlTool.StartConti_FW
0xff8abc88,ExpCtrlTool.StartContiNoResetIris_FW
0xff8abc9c,ExpCtrlTool.StartContiNoMoveIris_FW
0xff8abcb0,ExpCtrlTool.StopConti_FW
0xff8abcc4,ExpCtrlTool.StartManualExp_FW
0xff8abcd8,ExpCtrlTool.StopManualExp_FW
0xff8abcec,ExpCtrlTool.PauseUniUni_FW
0xff8abd00,ExpCtrlTool.ResumeUniUni_FW
0xff8abd14,ExpCtrlTool.OneShotAE_FW
0xff8abd28,ExpCtrlTool.AEFocus_FW
0xff8abd3c,ExpCtrlTool.AEFocusAdjust_FW
0xff8abd50,ExpCtrlTool.AEFocusProg_FW
0xff8abdcc,ExpCtrlTool.AEPreFix_FW
0xff8abde0,ExpCtrlTool.AEComp_FW
0xff8abdf4,ExpCtrlTool.AEStillOnMovie_FW
0xff8abe08,ExpCtrlTool.AEFix_FW
0xff8abe1c,ExpCtrlTool.AEFixProg_FW
0xff8abe30,ExpCtrlTool.AELock_FW
0xff8abe44,ExpCtrlTool.Manual_FW
0xff8abe84,ExpCtrlTool.Revive_FW
0xff8abea0,ExpCtrlTool.ReviveRef_FW
0xff8abebc,ExpCtrlTool.ReviveComp_FW
0xff8abed8,ExpCtrlTool.Lock_FW
