0xf8076d68,_avsSaveAdjData_FW
0xf8076da8,_avsChk_FW
0xf80779c8,GetSlantData_FW
0xf8077b38,j_GetX_AxisAcceleration_FW
0xf8077b3c,j_GetY_AxisAcceleration_FW
0xf8077b40,j_GetZ_AxisAcceleration_FW
0xf8077b44,GetAccelerometerDataWithCorrect_FW
0xf8077b74,CalcAccelerometerAtanAngle_FW
0xf8077b84,j_GetSlantData_FW
0xf8077b88,EnableAcceleLogWrite_FW
0xf8077b9c,DisableAcceleLogWrite_FW
0xf8077bcc,EnableAcceleLogRead_FW
0xf8077be0,DisableAcceleLogRead_FW
0xf8077c10,StartAcceleSlantMotionDetect_FW
0xf8077c18,StopAcceleSlantMotionDetect_FW
0xf8077c20,LoadAcceleParamFromFile_FW
0xf8077c88,RegisterElecLevelInfoNotifyCBR_FW
0xf8077ca4,UnRegisterElecLevelInfoNotifyCBR_FW
0xf8077cb8,EnableHvUpdate_FW
0xf8077cc8,DisableHvUpdate_FW
0xf8077cd8,j_GetSlantAngle_FW
0xf8079464,task_BeepTask
0xf80797e4,BeepDrive_FW
0xf8079804,BeepDriveComp_FW
0xf8079960,Dcdc_Bl_Pwr_Ctrl_FW
0xf8079c2c,Dcdc_Set_Avs_Voltage_Step_FW
0xf8079cdc,Dcdc_Get_Avs_Voltage_Step_FW
0xf8079d6c,Dcdc_Down_Avs_Voltage_Step_FW
0xf8079e20,Dcdc_Up_Avs_Voltage_Step_FW
0xf807a0a8,task_HecMngTask
0xf807a3d8,ChangePowerState_FW
0xf807a460,HdmiHpd5VOutput_FW
0xf807a954,task_LEDCon
0xf807b2f4,kbd_read_keys_r2
0xf807baa0,GetKbdState
0xf807bdb8,task_RotaryEncoder
0xf807dbc0,TurnOnVideoOutMode_FW
0xf807dbf8,TurnOffVideoOutMode_FW
0xf807e290,GetInputAverageLevel_FW
0xf807e2a8,SetStereoSeparation_FW
0xf807f280,task_Thermometer
0xf807f478,GetCCDTemperature
0xf807f478,GetCCDTemperature_FW
0xf807f4ec,GetBatteryTemperature
0xf807f4ec,GetBatteryTemperature_FW
0xf807f560,GetOpticalTemperature
0xf807f560,GetOpticalTemperature_FW
0xf807f610,IsOpticalTemperature_FW
0xf807f644,IsCCDTemperature_FW
0xf807f678,IsBatteryTemperature_FW
0xf807f6c8,j_GetOpticalTemperature_FW
0xf807f6cc,j_GetCCDTemperature_FW
0xf807f6d0,j_GetBatteryTemperature_FW
0xf807f6d4,j_IsOpticalTemperature_FW
0xf807f6d8,j_IsCCDTemperature_FW
0xf807f6dc,j_IsBatteryTemperature_FW
0xf807fee4,TP_FirmwareUpdate_FW
0xf807ff24,TP_GetFirmwareVersion_FW
0xf8080d84,task_TouchPanel
0xf80813c4,TouchPanelExecRawDiffTest_FW
0xf80814e0,TouchPanelExecIDACTest_FW
0xf8081558,TouchPanelExecBaselinesTest_FW
0xf8081578,TouchPanelExecPinShortTest_FW
0xf808160c,TouchPanelSetSensitive_FW
0xf8081628,TouchPanelSetLowPowerMode_FW
0xf8081638,TouchPanelSetActiveDistance_FW
0xf8081648,TouchPanelStartPrintPosition_FW
0xf8081668,TouchPanelStopPrintPosition_FW
0xf8081678,TouchPanelStartPolling_FW
0xf80816a4,TurnOnTouchPanel_FW
0xf80817c0,TouchPanelSetPolMode_FW
0xf80817c4,TouchPanelSetFilter_FW
0xf8081810,TurnOffTouchPanel_FW
0xf8084d34,EraseAdjustmentArea_FW
0xf8084d60,DumpAdjMirror_FW
0xf8084d88,GetAdjTableVersion_FW
0xf8084dbc,j_GetAdjTableVersion_FW
0xf8084dc0,GetAdjTableMapVersion_FW
0xf8084dd0,GetAdjTableValueVersion_FW
0xf8084de4,ShowDefaultAdjTableVersion_FW
0xf8084e84,LoadAdjustmentTable_FW
0xf8084ebc,LoadDefectAdjTable_FW
0xf808523c,SaveAdjustmentTable_FW
0xf80852a8,SaveDefectAdjTable_FW
0xf80852cc,SaveAdjustmentValue_FW
0xf8085304,LoadAdjustmentValue_FW
0xf8085328,PrintAdjTableMap_FW
0xf8085630,CreateAdjustmentTableMirror_FW
0xf8085638,RefreshAdjustmentTableMirror_FW
0xf8085640,CreateDefectTableMirror_FW
0xf8085648,RefreshDefectTableMirror_FW
0xf8085650,j_CreateUserSettingMirror_FW
0xf8085654,PrintAdjKabotanInfo_FW
0xf80856e4,WRITEADJTABLETOFROM_FW
0xf8085718,j_WRITEADJTABLETOFROM_FW
0xf808571c,WRITEADJUSTMENTDATATOFROM_FW
0xf8085750,WRITEUSERSETTINGDATATOFROM_FW
0xf8085b50,GetDCPAdjOffset_FW
0xf8085fb8,GetAdjustmentOffset_FW
0xf8085fc0,GetProductID_FW
0xf8085fdc,GetAdjDataAreaAddress_FW
0xf8085ff8,CreateUserSettingMirror_FW
0xf8089e64,InitializeTestRec_FW
0xf8089ed0,TerminateTestRec_FW
0xf808a86c,Initializedccd_FW
0xf808a86c,InitializeDigicon_FW
0xf808a978,Terminatedccd_FW
0xf808a978,TerminateDigicon_FW
0xf808a9e4,ExecuteDigicon_FW
0xf808b0b4,Executedccd_FW
0xf808b144,GetdccdImage_FW
0xf808b334,GetdccdFilterValue_FW
0xf808b420,j_InitializeTestRec_FW
0xf808b424,j_TerminateTestRec_FW
0xf808b428,ExecuteTestRec_FW
