0xffc25ea0,Fread_Fut_FW
0xffc04248,free
0xffe1939c,FreeMemory
0xffe1939c,FreeMemory_FW
0xffc298fc,FreeUncacheableMemory
0xffc25f94,Fseek_Fut
0xffc25f94,Fseek_Fut_FW
0xffc25ef4,Fwrite_Fut
0xffc25ef4,Fwrite_Fut_FW
0xffc412f4,GetAdChValue_FW
0xffe6d2b8,GetAdjAFInteg_FW
0xffc48e10,GetAdjDataAreaAddress_FW
0xffc47e4c,GetAdjTableMapVersion_FW
0xffc47e5c,GetAdjTableValueVersion_FW
0xffc47e18,GetAdjTableVersion_FW
0xffc412ec,GetAdVBattBottom_FW
0xffcf2930,GetAEIntegralServiceMode_FW
0xffcf2a3c,GetAEIntegralValueWithFix_FW
0xffcf2d88,GetAEIntegValueBit_FW
0xffcf293c,GetAEIntegWinData_FW
0xffcf2950,GetAEIntegWinDataWithMode_FW
0xffcf2b60,GetAllAEIntegralAllValueWithFix_FW
0xffc23c2c,GetBatteryCoverClose_FW
0xffc45dec,GetBatteryTemperature
0xffc45dec,GetBatteryTemperature_FW
0xffc48ddc,GetBpDBAdjustmentOffset_FW
0xffc6a868,GetBuildDate_FW
0xffc6a870,GetBuildTime_FW
0xffdebe50,GetCameraInformationData_FW
0xffe72c5c,GetCaptureInfoData_FW
0xffc45d78,GetCCDTemperature
0xffc45d78,GetCCDTemperature_FW
0xffe69238,GetCdsGainValue_FW
0xffe69328,GetCdsPreGain_FW
0xffe69380,GetCdsPreGainReg_FW
0xffc100e4,GetCh_FW
0xffe704e0,GetContinuousMovieJpegVRAMData_FW
0xffe6fb80,GetContinuousVRAMData_FW
0xffe7031c,GetContinuousVRAMDataWithRingBuffer_FW
0xffe69698,GetCrwImageInfo_FW
0xffdebcb0,GetCurrentAdjImgDriveType_FW
0xffd13ed4,GetCurrentAvValue
0xffd13ed4,GetCurrentAvValue_FW
0xffc76664,GetCurrentCaptureModeType_FW
0xffdebe08,GetCurrentCcdTemp_FW
0xffc86358,GetCurrentExposureTime_FW
0xffd131a4,GetCurrentFocusLensPosition_FW
0xffd131a4,GetCurrentFocusPosition_FW
0xffdebcbc,GetCurrentImgDrvMode_FW
0xffcf427c,GetCurrentMaximumLogSize_FW
0xffdebe24,GetCurrentOptTemp_FW
0xffc86080,GetCurrentShutterSpeed_FW
0xffd1313c,GetCurrentTargetDistance_FW
0xffe6ae58,GetCurrentZoomLensDirection_FW
0xffd151e8,GetCurrentZoomLensPoint_FW
0xffd151c0,GetCurrentZoomLensPosition_FW
0xffd151e8,GetCurrentZoomPoint_FW
0xffd151c0,GetCurrentZoomPosition_FW
0xffe14ff8,GetCZMovieDefaultSpeed_FW
0xffe14fe0,GetCZMovieHighSpeed_FW
0xffe14fe8,GetCZMovieLowSpeed_FW
0xffe14ff0,GetCZStillDefaultSpeed_FW
0xffe14fd0,GetCZStillHighSpeed_FW
0xffe14fd8,GetCZStillLowSpeed_FW
0xffd19068,GetDateAndTime_FW
0xffe70b90,GetDay_FW
0xffc48de4,GetDccdAdjustmentOffset_FW
0xffc4d81c,GetdccdFilterValue_FW
0xffc4d78c,GetdccdImage_FW
0xffc48b20,GetDCPAdjOffset_FW
0xffdade6c,GetDefectCrawInfo_FW
0xffdaded0,GetDefectTvAdj_FW
0xffc23c20,GetDialEventId_FW
0xffc52da4,GetDrive_ClusterSize
0xffc52dfc,GetDrive_FreeClusters
0xffc52dd4,GetDrive_TotalClusters
0xffc28e38,GetEventFlagValue
0xffe6e938,GetExStrobeID_FW
0xffc6a878,GetFirmwareVersion_FW
0xffd13680,GetFocusDefaultResetPosition_FW
0xffe057d4,GetFocusLensCurrentPosition_FW
0xffe05800,GetFocusLensDriveVoltage_FW
0xffe058d8,GetFocusLensHoldVoltage_FW
0xffe159e0,GetFocusLensLoadCamTable_FW
0xffe15974,GetFocusLensLoadSubjectDistance_FW
0xffe15ac0,GetFocusLensMoveMaxPosition_FW
0xffe15ad8,GetFocusLensMoveMinPosition_FW
0xffe15af4,GetFocusLensMoveRangeOfTelePoint_FW
0xffe1596c,GetFocusLensPositionRatio_FW
0xffd12e04,GetFocusLensPullInMaxSpeed_FW
0xffe0504c,GetFocusLensResetDefaultPosition_FW
0xffe0503c,GetFocusLensResetPosition_FW
0xffe88834,GetFocusLensResetVoltage_FW
0xffe0588c,GetFocusLensSettingWaitVoltage_FW
0xffd1313c,GetFocusLensSubjectDistance
0xffe15948,GetFocusLensSubjectDistance_FW
0xffd13598,GetFocusLensSubjectDistanceFromLens
0xffe15964,GetFocusLensSubjectDistanceNumber_FW
0xffd14640,GetFocusPiSensorLevel_FW
0xffd13614,GetFocusResetPosition_FW
0xffc589b8,GetFocusStartZoomPosition_FW
0xffe69938,GetFrameRateWithApex_FW
0xffe70bb8,GetHour_FW
0xffdf2860,getImageDirName
0xffcfa088,GetImageFolder
0xffd13ed4,GetIrisAv_FW
0xffc43e6c,GetKbdState
0xffe715f8,GetLastVBatADLevel_FW
0xffddbaa0,GetLatestHVPosition_FW
0xffc23c24,GetLcdPosition_FW
0xffd14154,GetLensErrorStatus_FW
0xffcf4220,GetLogData_FW
0xffcf4228,GetLogDataOnlyAddMemory_FW
0xffd1eeac,GetLogToFile_FW
0xffcb2d54,GetMacroSupportZoomPoint_FW
0xffe15f90,GetMechaShutterCloseDacSetting_FW
0xffd14c3c,GetMechaShutterMoveTime_FW
0xffe15fe0,GetMechaShutterOpenDacSetting_FW
0xffd14c64,GetMechaShutterStatus_FW
0xffc0a8a0,GetMemInfo
0xffe70be0,GetMinute_FW
0xffe70b64,GetMonth_FW
0xffcbf8b0,GetMovieJpegVRAMHPixelsSize_FW
0xffcbf8bc,GetMovieJpegVRAMVPixelsSize_FW
0xffe07a3c,GetNdMoveTime_FW
0xffc292a0,GetNumberOfPostedMessages
0xffe692a8,GetObClampValue_FW
0xffcf2c30,GetOnlyAEIntegData_FW
0xffc45e64,GetOpticalTemperature
0xffc45e64,GetOpticalTemperature_FW
0xffd3aee0,GetParameterData
0xffe70278,GetPixelsOfViewangle_FW
0xffc48df4,GetProductID_FW
0xffc6ba84,GetPropertyCase
0xffc23bf8,GetSDDetect_FW
0xffc23c00,GetSDProtect
0xffc23c00,GetSDProtect_FW
0xffe70c08,GetSecond_FW
0xffc6f5e4,GetSelfControllerHandle_FW
0xffc0f228,GetSemaphoreValue
0xffe698e4,GetShutterSpeedRegularMaxLimit_FW
0xffe698fc,GetShutterSpeedRegularMinLimit_FW
0xffc0ef88,GetSRAndDisableInterrupt
0xffc10134,GetStringWithPrompt_FW
0xffe6fa94,GetSumYOfVRAMCenterLine_FW
0xffc23b8c,GetSwitchStatus_FW
0xffe193fc,GetSystemTime
0xffe193fc,GetSystemTime_FW
0xffc4b394,GetTestRecCrawAddress_FW
0xffc65d94,GetTimeOfSystem_FW
0xffdec3fc,GetTransparentMemory_FW
0xffdec440,GetTransparentMemoryPosition_FW
0xffdec3ec,GetTransparentMemorySize_FW
0xffe72be4,GetUnpackCrwIntegralMultiValueForShading_FW
0xffe72814,GetUnpackCrwIntegralValue_FW
0xffe72a98,GetUnpackCrwIntegralValueForColorShading_FW
0xffe72830,GetUnpackCrwIntegralValueForShading_FW
0xffe698d4,GetUserSetShutterSPeed_FW
0xffc22b4c,GetVBatVoltage_FW
0xffe6f4d0,GetVideoOutType_FW
0xffcbf898,GetVRAMHPixelsSize
0xffcbf898,GetVRAMHPixelsSize_FW
0xffcbf8a4,GetVRAMVPixelsSize
0xffcbf8a4,GetVRAMVPixelsSize_FW
0xffe70b34,GetYear_FW
0xffe08ea4,GetZoomActuatorCurrentPosition_FW
0xffe08e78,GetZoomActuatorSpeedPPS_FW
0xffe6b67c,GetZoomDefaultCommonDriveParam_FW
0xffe6b598,GetZoomDefaultDriveParam_FW
0xffd15c68,GetZoomDrivingTime_FW
0xffd151e8,GetZoomLensCurrentPoint
0xffd151e8,GetZoomLensCurrentPoint_FW
0xffe09db4,GetZoomLensCurrentPosition
0xffd151c0,GetZoomLensCurrentPosition_FW
0xffe163f4,GetZoomLensDriveAmpereDac_FW
0xffd15c64,GetZoomLensMechaEdgePosition_FW
0xffe6acdc,GetZoomLensResetPlus_FW
0xffd155d0,GetZoomLensTelePoint_FW
0xffe6b630,GetZoomNormalDriveParam_FW
0xffd145f8,GetZoomPiSensorLevel_FW
0xffe6b5e4,GetZoomResetDriveParam_FW
0xffe0b4a4,GetZoomResetSensorLevel_FW
0xffd155d0,GetZoomTelePoint_FW
0xffc0f1f0,GiveSemaphore
0xffc0f1f0,GiveSemaphore_FW
0xffc7f914,GUISrv_StartGUISystem
0xffc7f914,GUISrv_StartGUISystem_FW
0xffc70540,HardwareDefect_FW
0xffc704f0,HardwareDefectWithRestart_FW
0xffcf4244,InactivateAdjLog_FW
0xffd1afa0,InitializeAdjustmentFunction_FW
