0xff00a780,CPrintf_FW
0xff00a7d8,CPutChar_FW
0xff00a800,GetCh_FW
0xff00a850,GetStringWithPrompt_FW
0xff00a8f0,OpenConsole_FW
0xff00aa1c,CloseConsole_FW
0xff00adf4,task_Startup
0xff00af50,_uartr_req
0xff00afe0,task_UartLog
0xff00b184,StartRedirectUART_FW
0xff00b298,StopRedirectUART_FW
0xff00b3f8,sprintf_FW
0xff00b43c,vsprintf
0xff00b58c,strcpy
0xff00b58c,strcpy_FW
0xff00b5a4,memcmp
0xff00b5a4,memcmp_FW
0xff00b6a0,j_strcmp_FW
0xff00b6a0,strcmp
0xff00b6c8,strcmp_FW
0xff017328,task_StartupImage
0xff01844c,task_BatteryTask
0xff018ad4,GetVBatVoltage_FW
0xff018ad4,VbattGet
0xff018ad4,VbattGet_FW
0xff019bac,kbd_p2_f
0xff019f10,task_PhySw
0xff01a2f8,GetSwitchStatus_FW
0xff01a364,GetSDDetect_FW
0xff01a36c,GetSDProtect
0xff01a36c,GetSDProtect_FW
0xff01a390,GetDialEventId_FW
0xff01a394,GetLcdPosition_FW
0xff01a39c,GetBatteryCoverClose_FW
0xff01a3a4,IsHvSensorExist_FW
0xff01a3ac,GetPopupOpen_FW
0xff01a3b8,kbd_read_keys
0xff01a408,kbd_p1_f
0xff01a414,kbd_p1_f_cont
0xff01b224,EngDrvOut
0xff01b23c,EngDrvIn
0xff01b244,EngDrvRead
0xff01b258,EngDrvBits
0xff01b47c,DisplayFactoryMode_FW
0xff01b488,UndisplayFactoryMode_FW
0xff01b4c0,StopPtpipServiceForFAWLAN_FW
0xff01b580,SetWLANFactoryMode_FW
0xff01b588,ClearWLANFactoryMode_FW
0xff01b590,SetSSIDForFAWLAN_FW
0xff01b8d0,SetDurianMode_FW
0xff01b910,ClearDurianMode_FW
0xff01b910,ClearFactoryMode_FW
0xff01b950,SetFactoryMode_FW
0xff01b990,ClearDUIDFixFlag_FW
0xff01b9c8,SetDUIDFixFlag_FW
0xff01bae4,ClearFactoryMasterFlag_FW
0xff01baf0,SetFactoryMasterFlag_FW
0xff01bafc,ClearFactoryMasterROMProtection_FW
0xff01bb20,SetFactoryMasterROMProtection_FW
0xff01bb44,IsFactoryMode_FW
0xff01bbac,IsDUIDFixFlag_FW
0xff01bbf4,IsNormalCameraMode_FW
0xff01bc0c,StartFactoryModeController_FW
0xff01c45c,RenameFile_Fut
0xff01c564,DeleteDirectory_Fut
0xff01c5bc,Fopen_Fut
0xff01c5bc,Fopen_Fut_FW
0xff01c5fc,Fclose_Fut
0xff01c5fc,Fclose_Fut_FW
0xff01c6a8,Fread_Fut
0xff01c6a8,Fread_Fut_FW
0xff01c6fc,Fwrite_Fut
0xff01c6fc,Fwrite_Fut_FW
0xff01c750,Fgets_Fut
0xff01c79c,Fseek_Fut
0xff01c79c,Fseek_Fut_FW
0xff01c7e8,Feof_Fut
0xff01c824,Fflush_Fut
0xff01ca9c,Open
0xff01ca9c,Open_FW
0xff01cb64,Close
0xff01cb64,Close_FW
0xff01cbb8,Write
0xff01cbb8,write
0xff01cbb8,Write_FW
0xff01cc0c,j_Open_FW
0xff01cc10,j_Close_FW
0xff01cd10,j_Read_FW
0xff01cd14,j_Write_FW
0xff01cd80,Lseek
0xff01cd80,lseek
0xff01cd80,Lseek_FW
0xff01cda0,OpenForScrip_FW
0xff01cdc8,stat
0xff01cef0,SetFileTimeStamp
0xff01cf68,SetFileAttributes
0xff01d000,mkdir
0xff01d208,j_StartCameraLog_FW
0xff01d20c,j_ShowCameraLog_FW
0xff01d210,j_ShowCameraLogInfo_FW
0xff01d214,j_StopCameraLog_FW
0xff01d218,j_PutsCameraLogEvent_FW
0xff01d21c,OpLog.Create_FW
0xff01d298,j_NewTaskShell_FW
0xff01d29c,j_ExMem.View_FW
0xff01d2a0,j_ExMem.AllocUncacheable_FW
0xff01d2a4,j_ExMem.FreeUncacheable_FW
0xff01d2a8,j_ExMem.AllocCacheable_FW
0xff01d2ac,j_ExMem.FreeCacheable_FW
0xff01d2b0,ExMem_FW
0xff01e28c,SS.GetDigitalZoomPosition_FW
0xff01e8e0,DoAFLock
0xff01e918,UnlockAF
0xff01ec9c,EnterToCompensationEVF
0xff01ece0,ExitFromCompensationEVF
0xff01ed40,DoAELock
0xff01ed64,UnlockAE
0xff020838,AllocateUncacheableMemory
0xff020878,FreeUncacheableMemory
0xff020ad4,_GetSystemTime
0xff020c0c,SetTimerAfter
0xff020c8c,SetTimerWhen
0xff020cf0,CancelTimer
0xff021de0,TurnOffE1_FW
0xff021e90,task_Bye
0xff02204c,Restart
0xff0224f4,HardwareDefectWithRestart_FW
0xff022548,HardwareDefect_FW
0xff02276c,strtolx
0xff022968,strtol
0xff02297c,memcpy
0xff02297c,memcpy_FW
0xff02e74c,ExpCtrlTool_StartContiAE
0xff02e8b4,ExpCtrlTool_StopContiAE
0xff030d68,task_WBCtrl
0xff033b00,task_FrameTask
0xff036a84,task_EFChargeT
0xff036f38,EF.IsChargeFull_FW
0xff036f38,IsStrobeChargeCompleted
0xff0375b4,task_AFTask
0xff038734,GetMacroSupportZoomPoint_FW
0xff039c18,task_GapMan
0xff040e70,LiveImageTool.GetDzoomPosition_FW
0xff041770,GetVRAMHPixelsSize
0xff041770,GetVRAMHPixelsSize_FW
0xff04177c,GetVRAMVPixelsSize
0xff04177c,GetVRAMVPixelsSize_FW
0xff041788,GetMovieJpegVRAMHPixelsSize_FW
0xff041794,GetMovieJpegVRAMVPixelsSize_FW
0xff049bc0,UIFS_CancelStoreLensTimer_FW
0xff049dd0,PB2Rec
0xff049e10,Rec2PB
0xff04a77c,task_InitFileModules
0xff04a7b4,task_CommonDrivers
0xff04df30,UIFS_StartMovieRecord_FW
0xff04df54,UIFS_StopMovieRecord_FW
0xff04fea0,UnsetZoomForMovie
0xff0503f0,UIFS_GetNumOfOptZoomPos_FW
0xff050550,UIFS_MoveZoomTo_FW
0xff053f74,UIFS_IsAvailableShots_FW
0xff0545ac,UIFS_GetStillShotableNumber_FW
0xff0545b0,UIFS_GetMovieRecoadableNumber_FW
0xff057ab4,DispCon_ShowColorBar_FW
0xff057b40,DispCon_ShowFiveStep_FW
0xff057c90,DispCon_ShowWhiteChart_FW
0xff057ce4,DispCon_ShowBlackChart_FW
0xff057d00,DispCon_ShowBitmapColorBar
