0xffc00dcc,memShow_FW
0xffc25f00,Fgets_Fut
0xffc25f4c,Fseek_Fut
0xffc25f4c,Fseek_Fut_FW
0xffc25f98,Feof_Fut
0xffc25fd4,Fflush_Fut
0xffc2624c,Open
0xffc2624c,Open_FW
0xffc262b8,Close
0xffc262b8,Close_FW
0xffc26344,j_Read_FW
0xffc26348,Write
0xffc26348,write
0xffc26348,Write_FW
0xffc263d4,Lseek
0xffc263d4,lseek
0xffc263d4,Lseek_FW
0xffc263f4,OpenForScrip_FW
0xffc2641c,stat
0xffc26554,SetFileTimeStamp
0xffc265b0,SetFileAttributes
0xffc26754,mkdir
0xffc267a8,j_StartCameraLog_FW
0xffc267ac,j_ShowCameraLog_FW
0xffc267b0,j_ShowCameraLogInfo_FW
0xffc267b4,j_StopCameraLog_FW
0xffc267b8,j_PutsCameraLogEvent_FW
0xffc267bc,OpLog.Create_FW
0xffc26820,j_NewTaskShell_FW
0xffc26824,j_ExMem.View_FW
0xffc26828,j_ExMem.AllocUncacheable_FW
0xffc2682c,j_ExMem.FreeUncacheable_FW
0xffc26830,j_ExMem.AllocCacheable_FW
0xffc26834,j_ExMem.FreeCacheable_FW
0xffc26838,ExMem_FW
0xffc27524,PT_GetDigitalZoomPosition_FW
0xffc59f78,DoAFLock,(stubs_entry_2.s)
0xffc59f88,UnlockAF,(stubs_entry_2.s)
0xffc277f4,EnterToCompensationEVF
0xffc27838,ExitFromCompensationEVF
0xffc2788c,DoAELock
0xffc278b0,UnlockAE
0xffc28908,CreateEventFlag
0xffc28960,DeleteEventFlag
0xffc289b0,CheckAnyEventFlag
0xffc289f8,CheckAllEventFlag
0xffc28a40,WaitForAnyEventFlag
0xffc28b24,WaitForAllEventFlag
0xffc28be4,SetEventFlag
0xffc28c18,ClearEventFlag
0xffc28c50,GetEventFlagValue
0xffc28d60,CreateMessageQueue
0xffc28de4,DeleteMessageQueue
0xffc28e74,ReceiveMessageQueue
0xffc28f3c,TryReceiveMessageQueue
0xffc28fc0,PostMessageQueue
0xffc29078,TryPostMessageQueue
0xffc290b8,GetNumberOfPostedMessages
0xffc29124,CreateRecursiveLock
0xffc29174,DeleteRecursiveLock
0xffc291c4,AcquireRecursiveLock
0xffc292e4,ReleaseRecursiveLock
0xffc29530,SleepTask
0xffc29530,SleepTask_FW
0xffc296ac,AllocateUncacheableMemory
0xffc296ec,FreeUncacheableMemory
0xffc29958,_GetSystemTime
0xffc29a90,SetTimerAfter
0xffc29b10,SetTimerWhen
0xffc29b74,CancelTimer
0xffc2ac48,TurnOffE1_FW
0xffc2ad04,task_Bye
0xffc2ae90,Restart
0xffc2b5d0,task_StartupImage
0xffc2ec8c,memcpy
0xffc2ec8c,memcpy_FW
0xffc2ed70,strtolx
0xffc2ef6c,strtol
0xffc35110,ExpCtrlTool_StartContiAE
0xffc351e8,ExpCtrlTool_StopContiAE
0xffc36c70,task_WBCtrl
0xffc39b38,task__ImageSensorTask
0xffc3facc,DispCon_ShowColorBar_FW
0xffc3fb24,DispCon_ShowFiveStep_FW
0xffc3fbf8,DispCon_ShowWhiteChart_FW
0xffc3fc30,DispCon_ShowBlackChart_FW
0xffc3fc4c,DispCon_ShowBitmapColorBar
0xffc3fc4c,DispCon_ShowBitmapColorBar_FW
0xffc3fcac,DispCon_ShowCustomColorBar_FW
0xffc3fd08,DispCon_SetDisplayType_FW
0xffc3fd28,DispCon_ShowColorChart_FW
0xffc3fd4c,DispCon_ShowWhiteLine_FW
0xffc3ff5c,DispCon_TurnOnDisplay_FW
0xffc3ff5c,TurnOnDisplay
0xffc3ff88,DispCon_TurnOffDisplay_FW
0xffc3ff88,TurnOffDisplay
0xffc3ff98,DispCon_TurnOnBackLight_FW
0xffc3ffa8,DispCon_TurnOffBackLight_FW
0xffc3ffb8,DispCon_SetMaxBackLightBrightness_FW
0xffc40038,DispCon_SetVideoAdjParameter_FW
0xffc400a8,DispCon_GetVideoAdjParameter_FW
0xffc40104,DispCon_ShowVideoAdjParameter_FW
0xffc40130,DispCon_SaveVideoAdjParameter_FW
0xffc401ac,DispCon_SetLcdGainAdjParameter_FW
0xffc40274,DispCon_GetLcdGainAdjParameter_FW
0xffc402b0,DispCon_ShowLcdGainAdjParameter_FW
0xffc402c0,DispCon_SaveLcdGainAdjParameter_FW
0xffc403e8,task_LcdConTask
0xffc40874,LcdCon_StartLcdPeriodicalSetting_FW
0xffc408c4,LcdCon_StopLcdPeriodicalSetting_FW
0xffc41688,GetAdVBattBottom_FW
0xffc41690,GetAdChValue_FW
0xffc42fc0,task_BeepTask
0xffc4333c,BeepDrive_FW
0xffc4335c,BeepDriveComp_FW
0xffc43624,task_LEDCon
0xffc43acc,LEDDrive,(stubs_entry_2.s)
0xffc43acc,LEDDrive_FW
0xffc43eac,kbd_read_keys_r2
0xffc4452c,GetKbdState
0xffc44654,task_AudioTsk
0xffc44c40,TurnOnVideoOutMode_FW
0xffc44ca4,TurnOffVideoOutMode_FW
0xffc45bec,task_FWDDATA
0xffc46414,task_Thermometer
0xffc4660c,GetCCDTemperature
0xffc4660c,GetCCDTemperature_FW
0xffc46680,GetBatteryTemperature
0xffc46680,GetBatteryTemperature_FW
0xffc466f4,GetOpticalTemperature
0xffc466f4,GetOpticalTemperature_FW
0xffc467a0,IsOpticalTemperature_FW
0xffc467d4,IsCCDTemperature_FW
0xffc46808,IsBatteryTemperature_FW
0xffc46858,j_GetOpticalTemperature_FW
0xffc4685c,j_GetCCDTemperature_FW
0xffc46860,j_GetBatteryTemperature_FW
0xffc46864,j_IsOpticalTemperature_FW
0xffc46868,j_IsCCDTemperature_FW
0xffc4686c,j_IsBatteryTemperature_FW
0xffc47af0,EraseAdjustmentArea_FW
0xffc47afc,DumpAdjMirror_FW
0xffc47b20,GetAdjTableVersion_FW
0xffc47b54,GetAdjTableMapVersion_FW
0xffc47b64,GetAdjTableValueVersion_FW
0xffc47b78,ShowDefaultAdjTableVersion_FW
0xffc47c1c,LoadAdjustmentTable_FW
0xffc47c54,LoadDefectAdjTable_FW
0xffc48028,SaveAdjustmentTable_FW
0xffc48098,SaveDefectAdjTable_FW
0xffc480b0,SaveAdjustmentValue_FW
0xffc480e8,LoadAdjustmentValue_FW
0xffc4810c,PrintAdjTableMap_FW
0xffc48328,CreateAdjustmentTableMirror_FW
0xffc48330,RefreshAdjustmentTableMirror_FW
0xffc48338,PrintAdjKabotanInfo_FW
0xffc483c4,WRITEADJTABLETOFROM_FW
0xffc483e8,WRITEADJUSTMENTDATATOFROM_FW
0xffc487a0,GetDCPAdjOffset_FW
0xffc48a14,GetBpDBAdjustmentOffset_FW
0xffc48a1c,GetDccdAdjustmentOffset_FW
0xffc4acd4,GetTestRecCrawAddress_FW
0xffc4bca8,InitializeTestRec_FW
0xffc4bd10,TerminateTestRec_FW
0xffc4bfa8,ExecuteTestRec_FW
0xffc4bfbc,ExecuteTestRecCF_FW
0xffc4bfbc,ExecuteTestRecSD_FW
0xffc4bfd4,ExecuteTestRecWithInteg_FW
0xffc4bfec,ExecuteTestRecSw1_FW
0xffc4c038,ExecuteTestRecDevelopProcess_FW
0xffc4c768,CalculateTestRecYUVData_FW
0xffc4c7d0,SetTestRecSkimmingYUV_FW
0xffc4c860,Initializedccd_FW
0xffc4c860,InitializeDigicon_FW
0xffc4c90c,Terminatedccd_FW
0xffc4c90c,TerminateDigicon_FW
0xffc4c960,ExecuteDigicon_FW
0xffc4cb58,ResetRegistNoticeCBR_FW
0xffc4d060,Executedccd_FW
0xffc4d0d8,GetdccdImage_FW
0xffc4d16c,GetdccdFilterValue_FW
0xffc4d360,RegistFirmScanNoticeCBR_FW
0xffc4f010,task_FsIoNotifyTask
0xffc522c0,UpdateMBROnFlash
0xffc52440,GetDrive_ClusterSize
0xffc52474,GetDrive_TotalClusters
0xffc524a0,GetDrive_FreeClusters
0xffc52810,task_SD1stInit
0xffc5548c,task_ImgPlayDrv
0xffc5670c,task_RedEyeCapt
0xffc56cb4,task_LensController
0xffc5801c,IsLensOutside_FW
0xffc58040,GetFocusStartZoomPosition_FW
0xffc58440,task_ISMainTask
0xffc58758,ISInitMotion_FW
0xffc58cd4,StartBDrive_FW
0xffc58cd4,StartISAdjustmentDrive_FW
0xffc58cd4,StartISDrive_FW
0xffc58ce0,StopBDrive_FW
0xffc58ce0,StopISAdjustmentDrive_FW
0xffc58ce0,StopISDrive_FW
0xffc58cec,StartBPanDrive_FW
0xffc58cec,StartISPanDrive_FW
0xffc58cf8,StopBPanDrive_FW
0xffc58cf8,StopISPanDrive_FW
0xffc58d10,StartISLocalAutoCenter_FW
0xffc58d50,StartISLocalHallAdjust_FW
0xffc58dbc,SearchBCentralPosition_FW
0xffc58dbc,SearchISLensCentralPosition_FW
0xffc58e24,MoveISLensToCentralPosition_FW
0xffc58e6c,ChangeToISCloseControl_FW
0xffc58ef4,GetISHallDevicePitchOffset_FW
0xffc58f84,GetISHallDeviceYawOffset_FW
0xffc58f90,GetISHallDevicePitchGain_FW
0xffc58f9c,GetISHallDeviceYawGain_FW
0xffc58fa8,GetISGyroPitchGain_FW
0xffc58fb4,GetISGyroYawGain_FW
0xffc58fc0,GetISPitchPWM_FW
0xffc58fcc,GetISYawPWM_FW
0xffc58fd8,GetISShiftLensPitchPosition_FW
0xffc58fe4,GetISShiftLensYawPosition_FW
0xffc58ff0,GetGyroDataPitch_FW
0xffc58ff0,GetISGyroDataPitch_FW
0xffc5900c,GetGyroDataYaw_FW
0xffc5900c,GetISGyroDataYaw_FW
0xffc59040,GetGyro10BitDACPitch_FW
0xffc59040,GetISGyro10BitDACPitch_FW
0xffc5904c,GetGyro10BitDACYaw_FW
0xffc5904c,GetISGyro10BitDACYaw_FW
0xffc59078,GetGyroHPFINOffsetPitch_FW
0xffc59078,GetISGyroHPFINOffsetPitch_FW
0xffc59094,GetGyroHPFINOffsetYaw_FW
0xffc59094,GetISGyroHPFINOffsetYaw_FW
0xffc590b0,GetGyroHPFINPitch_FW
0xffc590b0,GetISGyroHPFINPitch_FW
0xffc5910c,GetGyroHPFINYaw_FW
0xffc5910c,GetISGyroHPFINYaw_FW
0xffc5917c,ClearISCalcZData_FW
0xffc5939c,CancelLoopGainCalc_FW
0xffc59b3c,GetISLensDampAaxis_FW
0xffc59b48,GetISLensDampBaxis_FW
0xffc59b6c,GetISLensEViAaxis_FW
0xffc59b88,GetISLensEViBaxis_FW
0xffc59ba4,GetISLensCorrectedEViAaxis_FW
0xffc59be4,GetISLensCorrectedEViBaxis_FW
0xffc59d84,PT_CompletePreCapt_FW
0xffc59d8c,PT_RecreviewAvailable_FW
0xffc59d94,PT_NextShootAvailable_FW
0xffc59d9c,PT_CompleteStopZoom_FW
0xffc59da4,PT_CompleteStopDigZoom_FW
0xffc59dac,PT_CompleteStoreLens_FW
0xffc59db4,PT_MovieRecordStopped_FW
0xffc59dbc,PT_CompleteCaptModeChange_FW
0xffc59dc4,PT_CompleteSynchroWrite_FW
0xffc59dcc,PT_CompleteCharge_FW
0xffc59dd4,PT_CompleteFileWrite_FW
0xffc59ddc,PT_ShootPicture_FW
0xffc59de4,PT_EraseAllFile_FW
0xffc59e0c,PT_mod_FW
0xffc59e34,PT_SetPropertyCaseInt_FW
0xffc59e60,PT_GetPropertyCaseInt_FW
0xffc59ed8,PT_MoveOpticalZoomToTele_FW
0xffc59eec,PT_MoveOpticalZoomToWide_FW
0xffc59f00,PT_MoveOpticalZoomAt
0xffc59f00,PT_MoveOpticalZoomAt_FW
0xffc59f18,PT_MoveDigitalZoomToTele_FW
0xffc59f28,PT_MoveDigitalZoomToWide
0xffc59f28,PT_MoveDigitalZoomToWide_FW
0xffc59f38,PT_MoveDigitalZoomAt_FW
0xffc59f4c,PT_GetDigitalZoomTele_FW
0xffc59f60,j_PT_GetDigitalZoomPosition_FW
0xffc59f64,PT_ChangeZoomSpeed_FW
0xffc59f78,PT_DoAFLock_FW
0xffc59f88,PT_UnlockAF_FW
0xffc59f98,PT_DoAELock_FW
0xffc59fa8,PT_UnlockAE_FW
0xffc59fb8,PT_MFOn_FW
0xffc59fc8,PT_MFOff_FW
0xffc59fd8,SS.Create_FW
0xffc5c1e8,task_CaptSeq
0xffc5c1e8,task_CaptSeqTask
0xffc61f34,task_SsTask
0xffc624e8,PT_PlaySound
0xffc65a88,WriteToRom_FW
0xffc65b38,EraseSectorOfRom_FW
0xffc65d18,UnLoadScript_FW
0xffc65e08,Printf_FW
0xffc65e14,LoadScript_FW
0xffc6651c,time
0xffc66668,LocalTime
0xffc66bf8,GetTimeOfSystem_FW
0xffc66cd4,ExMem.View_FW
0xffc671b8,ExMem.AllocUncacheable_FW
0xffc672f4,ExMem.FreeUncacheable_FW
0xffc67308,exmem_alloc
0xffc67370,ExMem.AllocCacheable_FW
0xffc67380,exmem_free
0xffc673f8,ExMem.FreeCacheable_FW
0xffc67f38,SetHPTimerAfterNow
0xffc67fb8,SetHPTimerAfterTimeout
0xffc68040,CancelHPTimer
0xffc6882c,RegisterEventProcedure
0xffc68958,ExecuteEventProcedure
0xffc689d0,ExecuteEventProcedure_FW
0xffc69390,ExportToEventProcedure_FW
0xffc6939c,CreateProxyOfEventProcedure_FW
0xffc693f4,DeleteProxyOfEventProcedure_FW
0xffc6960c,PutsCameraLogEvent_FW
0xffc69650,ShowCameraLogInfo_FW
0xffc696bc,ShowCameraLog_FW
0xffc6970c,StartCameraLog_FW
0xffc698d0,StopCameraLog_FW
0xffc69930,LogCameraEvent
0xffc69dc4,task_OpePlay
0xffc69f6c,OpLog.Stop_FW
0xffc69f98,OpLog.WriteToROM_FW
0xffc69fc8,j_OpLog.WriteToROM_FW
0xffc69fd8,OpLog.ReadFromROM_FW
0xffc6a024,OpLog.ReadFromSD_FW
0xffc6a464,OpLog.WriteToSD_FW
0xffc6a8d0,OpLog.Get_FW
0xffc6a8f0,OpLog.Play_FW
0xffc6a9ec,OpLog.Start_FW
0xffc6b144,task_WdtPrint
0xffc6b1f8,task_WdtReset
0xffc6b2b8,StartWDT_FW
0xffc6b31c,StopWDT_FW
0xffc6b40c,GetBuildDate_FW
0xffc6b414,GetBuildTime_FW
0xffc6b41c,GetFirmwareVersion_FW
0xffc6b528,CheckSumAll_FW
0xffc6b718,RomCheckSum_FW
0xffc6bfbc,task_EvShel
0xffc6c070,NewTaskShell
0xffc6c0d0,NewTaskShell_FW
0xffc6c534,SetPropertyCase
0xffc6c664,GetPropertyCase
0xffc6d1ec,StartPlayModeMenu_FW
0xffc6d208,StartRecModeMenu
0xffc6d208,StartRecModeMenu_FW
0xffc6d280,ShutdownRecModeMenu_FW
0xffc6d47c,ShutdownPlayModeMenu_FW
0xffc6d5f4,ShutdownPlayModeMenuWithoutPbRedraw_FW
0xffc6e844,task_CtrlSrv
0xffc6efc4,CreateController_FW
0xffc6f080,DeleteController_FW
0xffc6f20c,MoveControllerToTopOfZOrder_FW
0xffc6f33c,GetSelfControllerHandle_FW
0xffc6f7a0,PostLogicalEventForNotPowerType
0xffc6f7a0,PostLogicalEventForNotPowerType_FW
0xffc6f7ec,PostLogicalEventToUI
0xffc6f7ec,PostLogicalEventToUI_FW
0xffc6f864,PostEventShootSeqToUI_FW
0xffc6f8c0,ShowLogicalEventName_FW
0xffc6fa08,set_control_event
0xffc6fc78,IsControlEventActive_FW
0xffc6fce8,SetLogicalEventActive
0xffc6fce8,UiEvnt_SetLogicalEventActive_FW
0xffc00f70,SetScriptMode,(stubs_entry_2.s)
0xffc6fd38,SetScriptMode_FW
0xffc6fd6c,UiEvnt_StartDisguiseCradleStatus_FW
0xffc6fd7c,UiEvnt_StopDisguiseCradleStatus_FW
0xffc6fec4,UnlockMainPower
0xffc6fec4,UnlockMainPower_FW
0xffc6ff70,LockMainPower
0xffc6ff70,LockMainPower_FW
0xffc6ffe4,SetAutoShutdownTime
0xffc6ffe4,SetAutoShutdownTime_FW
0xffc701c0,HardwareDefectWithRestart_FW
0xffc70210,HardwareDefect_FW
0xffc70430,PTM_AllResetToFactorySetting_FW
0xffc70440,j_PTM_AllReset_FW
0xffc708cc,PTM_SetCurrentCaptureMode_FW
0xffc70994,j_PTM_GetWorkingCaptureMode_FW
0xffc70998,j_PTM_SetCurrentItem_FW
0xffc709a4,PTM_GetCurrentItem_FW
0xffc70a10,j_PTM_NextItem_FW
0xffc70a14,j_PTM_PrevItem_FW
0xffc70a24,j_PTM_IsEnableItem_FW
0xffc70a28,j_PTM_SetProprietyEnable_FW
0xffc70a40,j_PTM_BackupUIProperty_FW
0xffc70a44,PTM_RestoreUIProperty_FW
0xffc72d38,PB2Rec
0xffc72d78,Rec2PB
0xffc736c4,task_InitFileModules
0xffc736fc,task_CommonDrivers
0xffc76674,SetCurrentCaptureModeType
0xffc76674,SetCurrentCaptureModeType_FW
0xffc766b0,GetCurrentCaptureModeType_FW
0xffc78b38,UIFS_IsAvailableShots_FW
0xffc79c94,UIFS_StartMovieRecord_FW
0xffc79cc8,UIFS_StopMovieRecord_FW
0xffc7a740,task_FaceFrame
0xffc7aaa8,task_DSITask
0xffc7b428,TurnOnBackLight
0xffc7b440,TurnOffBackLight
0xffc7f8f0,GUISrv_StartGUISystem
0xffc7f8f0,GUISrv_StartGUISystem_FW
0xffc7feac,atol_FW
0xffc7feb8,strcat
0xffc80104,strftime
0xffc806fc,mktime_ext
0xffc846d8,GetCurrentShutterSpeed_FW
0xffc849b0,GetCurrentExposureTime_FW
0xffc886c0,task_WBIntegTask
0xffc8e8d0,task_BrtMsrTask
0xffc91760,ExpCtrlTool.SetExpMode_FW
0xffc95048,task_ExpDrv
0xffc95048,task_ExpDrvTask
0xffca402c,task_WBLPFace
0xffca5d80,ReloadWBAdjustment_FW
0xffca66b4,task_OBCtrlTask
0xffca7314,task_DetectMoveTask
0xffca86b4,task_FramePosition
0xffcaa278,task_DevelopModule
0xffcaa958,task_EFChargeT
0xffcaac70,EF.IsChargeFull_FW
0xffcaac70,IsStrobeChargeCompleted
0xffcad118,task_AfIntSrvTask
0xffcae004,task_AFTask
0xffcae97c,GetMacroSupportZoomPoint_FW
0xffcaf520,ReloadAFAdjustment_FW
0xffcb1c04,ReloadCdsAdjustment_FW
0xffcb2128,E2LatOn_FW
0xffcb2418,ActivateImager_FW
0xffcb24a4,ActivateImagerXOne_FW
0xffcb2574,QuietImager_FW
0xffcb2620,CancelImager_FW
0xffcb2644,ChangeImagerToWholeParallel_FW
0xffcb264c,ChangeImagerToWholeParallelBP_FW
0xffcb2654,ChangeImagerToWholeParallelBPOne_FW
0xffcb265c,ChangeImagerToCombiParallel_FW
0xffcb2664,ChangeImagerToWideDraft_FW
0xffcb266c,ChangeImagerToFocusJet_FW
0xffcb2674,ChangeImagerToMangoPudding_FW
0xffcb267c,ChangeImagerToSuperWideDraft_FW
0xffcb2684,ChangeImagerToJetDraft_FW
0xffcb268c,ChangeImagerToJumboDraft_FW
0xffcb2694,ChangeImagerToHoneyFlash_FW
0xffcb269c,ChangeImagerToMillefeAdjust_FW
0xffcb26a4,ChangeImagerToDigiconMode_FW
0xffcb26a4,ChangeImagerToOITA_XAVIER_FW
0xffcb26ac,ChangeImagerToAlternateDraft_FW
0xffcb26b4,ChangeImagerToUltraGhostQ_FW
0xffcb26bc,ChangeImagerToMontblancWhole_FW
0xffcb26c4,ChangeImagerToMontblancMillefe_FW
0xffcb26cc,ChangeImagerToFastBP_FW
0xffcb26d4,ChangeImagerToHarleyDavidson_FW
0xffcb26dc,ChangeImagerToWideDraftHD_FW
0xffcb26e4,ChangeImagerToFocusJetHD_FW
0xffcb26ec,ChangeImagerToMangoPuddingHD_FW
0xffcb26f4,ChangeImagerToHoneyFlashHD_FW
0xffcb2700,CancelImageDrive_FW
0xffcb2720,j_E2LatOn_FW
0xffcb3600,task_SsgMainTask
0xffcb37f4,task_SsgPeriodTask
0xffcb6e30,task_TgTask
0xffcba630,LiveImageTool.GetDzoomPosition_FW
0xffcba764,GetVRAMHPixelsSize
0xffcba764,GetVRAMHPixelsSize_FW
0xffcba770,GetVRAMVPixelsSize
0xffcba770,GetVRAMVPixelsSize_FW
0xffcba77c,GetMovieJpegVRAMHPixelsSize_FW
0xffcba788,GetMovieJpegVRAMVPixelsSize_FW
0xffcba830,StopContinuousVRAMData_FW
0xffcbac64,task_PrcssFil
0xffcbb9b0,task_SyncPeriod
0xffcbba38,task_SynchTask
0xffcbd690,task_TimerUtility
0xffcc6b98,task_NormalThumbCache
0xffccac7c,task_TrnsCtrlTask
0xffcd5f34,LcdCon_SetLcdDriver_FW
0xffcd5f88,LcdCon_SetLcdAdjParameter_FW
0xffcd6028,LcdCon_GetLcdAdjParameter_FW
0xffcd6070,LcdCon_ShowLcdAdjParameter_FW
0xffcd60b0,LcdCon_SaveLcdAdjParameter_FW
0xffcd60cc,LcdCon_SetLcdParameter_FW
0xffcd6238,LcdCon_GetLcdParameter_FW
0xffcd6280,LcdCon_ShowLcdParameter_FW
0xffcd62c0,LcdCon_SaveLcdParameter_FW
0xffcd6410,LcdCon_SetLcdBackLightBrightness_FW
0xffcd644c,LcdCon_SetLcdBackLightParameter_FW
0xffcd64a4,LcdCon_GetLcdBackLightParameter_FW
0xffcd64e8,LcdCon_ShowLcdBackLightParameter_FW
0xffcd6528,LcdCon_SaveLcdBackLightParameter_FW
0xffcd69f4,GetLatestHVPosition_FW
0xffcd6a4c,EngApp.Delete_FW
0xffcd6a78,EngApp.Create_FW
0xffcd7168,task_MotionVector
0xffcd86c8,task_SceneDetectTask
0xffcd8f34,Scene.ForbidContiSceneDetect_FW
0xffcd8f60,Scene.TestSunset_FW
0xffceb8d4,task_Fencing
0xffcecfd0,PrintAllAEIntegData_FW
0xffced874,AbortAEIntegralValue_FW
0xffced8c8,SetAEIntegStrobeProperty_FW
0xffced954,SetAEIntegCorrectProperty_FW
0xffced9b4,SetAEIntegralValueProperty_FW
0xffced9f8,SetAEIntegralGetaTime_FW
0xffcedb7c,GetAEIntegWinData_FW
0xffceddf0,j_GetAEIntegWinData_FW
0xffceddf4,GetAEIntegWinDataWithMode_FW
0xffcededc,GetAEIntegralValueWithFix_FW
0xffcee000,GetAllAEIntegralAllValueWithFix_FW
0xffcee0d4,GetOnlyAEIntegData_FW
0xffcee148,SetWhiteCoefficient_FW
0xffcee1c0,SetAEIntegWindowsMode_FW
0xffcee214,SetAEIntegValueBit_FW
0xffcee230,GetAEIntegValueBit_FW
0xffcee23c,GetAEIntegralServiceMode_FW
0xffcee248,StopAEIntegralService_FW
0xffcee560,StartAEIntegralService_FW
0xffcee56c,SetLineDefMarkThroughMode_FW
0xffcee598,SetAEIntegAverageOBData_FW
0xffcee5a0,SetAdjAEIntegSmearLimitter_FW
0xffcee5b0,SetDefaultAEIntegSmearLimitter_FW
0xffcee5c0,AttachIntegCrawData_FW
0xffceeb58,LoadParamDataFromAdjTableBin_FW
0xffceec5c,LoadDataFromAdjTableBin_FW
0xffceed58,DeviceUniqueIDCheckSum_FW
0xffceefac,PrintFirmVersion_FW
0xffceefe0,PrintFaexeVersioin_FW
0xffceeff0,CreateFADBGSingalID_FW
0xffcef000,FADBGSingal_FW
0xffcef0a0,FADBGPrintf_FW
0xffcef220,FAPrintf_FW
0xffcef270,OutputLogToFile_FW
0xffcef37c,StopLogOut_FW
0xffcef6a0,GetLogData_FW
0xffcef6a8,GetLogDataOnlyAddMemory_FW
0xffcef6b0,ActivateAdjLog_FW
0xffcef6c4,InactivateAdjLog_FW
0xffcef6d8,StartLogOut_FW
0xffcef6f0,IsLogOutType_FW
