0xffc296ec,FreeUncacheableMemory
0xffc25f4c,Fseek_Fut
0xffc25f4c,Fseek_Fut_FW
0xffc25eac,Fwrite_Fut
0xffc25eac,Fwrite_Fut_FW
0xffc41690,GetAdChValue_FW
0xffe603d4,GetAdjAFInteg_FW
0xffc47b54,GetAdjTableMapVersion_FW
0xffc47b64,GetAdjTableValueVersion_FW
0xffc47b20,GetAdjTableVersion_FW
0xffc41688,GetAdVBattBottom_FW
0xffcee1ec,GetAEIntegralServiceMode_FW
0xffcede8c,GetAEIntegralValueWithFix_FW
0xffcee1e0,GetAEIntegValueBit_FW
0xffcedb2c,GetAEIntegWinData_FW
0xffcedda4,GetAEIntegWinDataWithMode_FW
0xffcedfb0,GetAllAEIntegralAllValueWithFix_FW
0xffc23cc8,GetBatteryCoverClose_FW
0xffc46680,GetBatteryTemperature
0xffc46680,GetBatteryTemperature_FW
0xffc48a14,GetBpDBAdjustmentOffset_FW
0xffc6b3bc,GetBuildDate_FW
0xffc6b3c4,GetBuildTime_FW
0xffddff44,GetCameraInformationData_FW
0xffe65694,GetCaptureInfoData_FW
0xffc4660c,GetCCDTemperature
0xffc4660c,GetCCDTemperature_FW
0xffe5c570,GetCdsGainValue_FW
0xffe5c660,GetCdsPreGain_FW
0xffe5c6b8,GetCdsPreGainReg_FW
0xffc0ff88,GetCh_FW
0xffe63038,GetContinuousMovieJpegVRAMData_FW
0xffe626d4,GetContinuousVRAMData_FW
0xffe62e78,GetContinuousVRAMDataWithRingBuffer_FW
0xffe5c9e4,GetCrwImageInfo_FW
0xffddfda4,GetCurrentAdjImgDriveType_FW
0xffd0c980,GetCurrentAvValue
0xffd0c980,GetCurrentAvValue_FW
0xffc76660,GetCurrentCaptureModeType_FW
0xffddfefc,GetCurrentCcdTemp_FW
0xffc84960,GetCurrentExposureTime_FW
0xffd0bce0,GetCurrentFocusLensPosition_FW
0xffd0bce0,GetCurrentFocusPosition_FW
0xffddfdb0,GetCurrentImgDrvMode_FW
0xffcef6ac,GetCurrentMaximumLogSize_FW
0xffddff18,GetCurrentOptTemp_FW
0xffc84688,GetCurrentShutterSpeed_FW
0xffd0bc78,GetCurrentTargetDistance_FW
0xffe5e1cc,GetCurrentZoomLensDirection_FW
0xffd0fa4c,GetCurrentZoomLensPoint_FW
0xffd0fa24,GetCurrentZoomLensPosition_FW
0xffd0fa4c,GetCurrentZoomPoint_FW
0xffd0fa24,GetCurrentZoomPosition_FW
0xffd14078,GetDateAndTime_FW
0xffe636e0,GetDay_FW
0xffc48a1c,GetDccdAdjustmentOffset_FW
0xffc4d16c,GetdccdFilterValue_FW
0xffc4d0d8,GetdccdImage_FW
0xffc487a0,GetDCPAdjOffset_FW
0xffda3038,GetDefectCrawInfo_FW
0xffc23cc4,GetDialEventId_FW
0xffc52440,GetDrive_ClusterSize
0xffc524a0,GetDrive_FreeClusters
0xffc52474,GetDrive_TotalClusters
0xffc28c50,GetEventFlagValue
0xffe61488,GetExStrobeID_FW
0xffc6b3cc,GetFirmwareVersion_FW
0xffd0c1b8,GetFocusDefaultResetPosition_FW
0xffdfbf84,GetFocusLensCurrentPosition_FW
0xffdfbfb0,GetFocusLensDriveVoltage_FW
0xffdfc078,GetFocusLensHoldVoltage_FW
0xffe04e68,GetFocusLensLoadCamTable_FW
0xffe04dfc,GetFocusLensLoadSubjectDistance_FW
0xffe04f50,GetFocusLensMoveMaxPosition_FW
0xffe04f68,GetFocusLensMoveMinPosition_FW
0xffe04df4,GetFocusLensPositionRatio_FW
0xffd0b93c,GetFocusLensPullInMaxSpeed_FW
0xffdfb7fc,GetFocusLensResetDefaultPosition_FW
0xffdfb7ec,GetFocusLensResetPosition_FW
0xffe78310,GetFocusLensResetVoltage_FW
0xffdfc02c,GetFocusLensSettingWaitVoltage_FW
0xffd0bc78,GetFocusLensSubjectDistance
0xffe04dd0,GetFocusLensSubjectDistance_FW
0xffd0c0d0,GetFocusLensSubjectDistanceFromLens
0xffe04dec,GetFocusLensSubjectDistanceNumber_FW
0xffd0de68,GetFocusPiSensorLevel_FW
0xffd0c14c,GetFocusResetPosition_FW
0xffc57ff0,GetFocusStartZoomPosition_FW
0xffe5cc84,GetFrameRateWithApex_FW
0xffc58ff0,GetGyro10BitDACPitch_FW
0xffc58ffc,GetGyro10BitDACYaw_FW
0xffc58fa0,GetGyroDataPitch_FW
0xffc58fbc,GetGyroDataYaw_FW
0xffe05ad0,GetGyroFilterCharge_FW
0xffe662fc,GetGyroFilterChargeStatus_FW
0xffc59028,GetGyroHPFINOffsetPitch_FW
0xffc59044,GetGyroHPFINOffsetYaw_FW
0xffc59060,GetGyroHPFINPitch_FW
0xffc590bc,GetGyroHPFINYaw_FW
0xffe63708,GetHour_FW
0xffde6340,getImageDirName
0xffcf55a8,GetImageFolder
0xffd0c980,GetIrisAv_FW
0xffe057e8,GetISDriveAaxis_FW
0xffe05808,GetISDriveBaxis_FW
0xffe05af0,GetISFirmVersion_FW
0xffc58ff0,GetISGyro10BitDACPitch_FW
0xffc58ffc,GetISGyro10BitDACYaw_FW
0xffc58fa0,GetISGyroDataPitch_FW
0xffc58fbc,GetISGyroDataYaw_FW
0xffe058e8,GetISGyroGainAaxis_FW
0xffe05908,GetISGyroGainBaxis_FW
0xffc59028,GetISGyroHPFINOffsetPitch_FW
0xffc59044,GetISGyroHPFINOffsetYaw_FW
0xffc59060,GetISGyroHPFINPitch_FW
0xffc590bc,GetISGyroHPFINYaw_FW
0xffc58f58,GetISGyroPitchGain_FW
0xffe65b64,GetISGyroPitchOffset_FW
0xffc58f64,GetISGyroYawGain_FW
0xffe65b5c,GetISGyroYawOffset_FW
0xffe05e04,GetISHallAmpFirstGain_FW
0xffc58f40,GetISHallDevicePitchGain_FW
0xffc58ea4,GetISHallDevicePitchOffset_FW
0xffc58f4c,GetISHallDeviceYawGain_FW
0xffc58f34,GetISHallDeviceYawOffset_FW
0xffe058a8,GetISHallGainAaxis_FW
0xffe058c8,GetISHallGainBaxis_FW
0xffe05868,GetISHallOffsetAaxis_FW
0xffe05888,GetISHallOffsetBaxis_FW
0xffe05c98,GetISHallOut1Amp_FW
0xffc59b54,GetISLensCorrectedEViAaxis_FW
0xffc59b94,GetISLensCorrectedEViBaxis_FW
0xffc59aec,GetISLensDampAaxis_FW
0xffc59af8,GetISLensDampBaxis_FW
0xffc59b1c,GetISLensEViAaxis_FW
0xffc59b38,GetISLensEViBaxis_FW
0xffe05b40,GetISParamVersion_FW
0xffc58f70,GetISPitchPWM_FW
0xffe05828,GetISPositionAaxis_FW
0xffe05848,GetISPositionBaxis_FW
0xffc58f88,GetISShiftLensPitchPosition_FW
0xffc58f94,GetISShiftLensYawPosition_FW
0xffc58f7c,GetISYawPWM_FW
0xffc4452c,GetKbdState
0xffe6401c,GetLastVBatADLevel_FW
0xffcd69a4,GetLatestHVPosition_FW
0xffd0cbe8,GetLensErrorStatus_FW
0xffcef650,GetLogData_FW
0xffcef658,GetLogDataOnlyAddMemory_FW
