0xffa69eac,DumpAdjMirror_FW
0xffa969d4,DumpScript_FW
0xffa772dc,DumpTransparentMemoryItem_FW
0xff9578c0,DvlpDbg_RegisterEvent_FW
0xff90b9fc,EF.AvTvDg_FW
0xff90bb10,EF.CurtainSynchro_FW
0xff90afec,EF.DummyCharge_FW
0xff90b000,EF.DummyChargeLevel_FW
0xff90bae0,EF.FlashAdjust_FW
0xff90afd8,EF.GetADCEFCharge_FW
0xff90ba80,EF.GetAvTvDg_FW
0xff90b3d0,EF.GetExpByAE_FW
0xff90b438,EF.IsEFMacro_FW
0xff90b21c,EF.PrepareFlash_FW
0xff90b01c,EF.StartEFCharge_FW
0xff90b0d4,EF.StartInternalMainFlash_FW
0xff90b090,EF.StartInternalPreFlash_FW
0xff90b618,EF.StartMainFlash_FW
0xff90b4a4,EF.StartPreFlash_FW
0xff90b080,EF.StopEFCharge_FW
0xff94e6e8,EmergencyOfLens_FW
0xff967608,EnableAutoShutdown_FW
0xff9504a0,EnableCaptureLog_FW
0xffa7bf98,EnableDebugLogMode_FW
0xffa4e9f8,EnableFocusPiCircuit_FW
0xff8201d0,EnableInterrupt
0xffa4e988,EnableMechaCircuit_FW
0xff997f60,EnableMovieController_FW
0xffa0b6b8,EnableNotificationPTP_FW
0xff8d0d48,EnableOBClampField_FW
0xff97b698,EnableRefreshPhysicalScreen_FW
0xffa4ea44,EnableZoomEncoderCircuit_FW
0xffa4ea18,EnableZoomPiCircuit_FW
0xff87ee6c,EngDrvBits
0xff87ee38,EngDrvOut
0xff87ee58,EngDrvRead
0xff89f638,EngineDriver.Create_FW
0xff89f66c,EngineDriver.Delete_FW
0xff94fcac,EnterToAELockEVF_FW
0xff94f148,EnterToCompensationEVF_FW
0xff98de94,EnterToDisplayOff_FW
0xff94ee40,EnterToManualFocus_FW
0xff94e8d0,EnterToPlayFromRec_FW
0xff94e80c,EnterToRecFromPlay_FW
0xff950278,EnterToRemoteCaptureMode_FW
0xffa69e64,EraseAdjustmentArea_FW
0xffa6a7c4,EraseFRomShadingArea_FW
0xffa9e540,EraseLogSector_FW
0xff8235b8,EraseSectorOfRom_FW
0xff81aaa0,EraseSignature_FW
0xffab6398,errnoOfTaskGet
0xff816164,ExecuteEventProcedure
0xff816164,ExecuteEventProcedure_FW
0xffa957d0,ExecuteFirmUpgrade_FW
0xffa4d1d8,ExecuteLoadTest_FW
0xff98baf0,ExecuteResetFactoryWithRomWrite_FW
0xff950488,ExecuteScript_FW
0xffa7a06c,ExecuteTestRec_FW
0xffa7a1fc,ExecuteTestRecCF_FW
0xff94fd9c,ExitFromAELockEVF_FW
0xff94f19c,ExitFromCompensationEVF_FW
0xff94ee48,ExitFromManualFocus_FW
0xff950280,ExitFromRemoteCaptureMode_FW
0xff94ff84,ExitShooting_FW
0xff821dd0,ExitTask
0xff821dd0,ExitTask_FW
0xff950464,ExitTestRec_FW
0xff816380,ExportToEventProcedure_FW
0xffa6be1c,FA.Create_FW
0xffa6be50,FA.Delete_FW
0xffa6bf6c,FADBGPrintf_FW
0xffa6c110,FAPrintf_FW
0xff863730,Fclose_Fut
0xff863944,Feof_Fut
0xff86397c,Fflush_Fut
0xff8638b4,Fgets_Fut
0xff866370,File_RegistDebugEventProc_FW
0xff9711e0,FillRectangleToDialog_FW
0xff92f13c,FindingWhiteDefect_FW
0xffa73b54,FixAEWithCompensation_FW
0xff94f310,FixProgramShift_FW
0xff94e77c,FlushWriteCache_FW
0xffa73aa0,FocusAEWithCompensation_FW
0xff8636f4,Fopen_Fut
0xff863814,Fread_Fut
0xffa7c5ac,FreeBufferForSoundRec_FW
0xff81a9a8,FreeMemory
0xff81a9a8,FreeMemory_FW
0xff813ef4,FreeUncacheableMemory
0xff8638fc,Fseek_Fut
0xff863864,Fwrite_Fut
0xffa480c4,GetAdChValue_FW
0xffa69f4c,GetAdjTableMapVersion_FW
0xffa69f5c,GetAdjTableValueVersion_FW
0xffa69f04,GetAdjTableVersion_FW
0xffa48104,GetAdVBattBottom_FW
0xffa6d888,GetAEIntegralServiceMode_FW
0xffa6cee8,GetAEIntegralValue_FW
0xffa6d56c,GetAEIntegralValueWithFix_FW
0xff9502c0,GetAllJpegSize_FW
0xffa6d0dc,GETALTERNATEEVALUATIONVALUEWITHMECHASHUTTER_FW
0xff971f40,GetAttributeFromDialogItem_FW
0xffa4da78,GetBatteryTemperature
0xffa4da78,GetBatteryTemperature_FW
0xff81a400,GetBuildDate_FW
0xff81a418,GetBuildTime_FW
0xffa4da64,GetCCDTemperature
0xffa4da64,GetCCDTemperature_FW
0xffa6ed4c,GetCdsGainValue_FW
0xff81b654,GetCh_FW
0xffa6d224,GETCRWEVALUATIONVALUEWITHMECHASHUTTER_FW
0xffa6d2c8,GETCRWEVALUATIONVALUEWITHOUTMECHASHUTTER_FW
0xffa4f354,GetCurrentAvValue,(stubs_entry_2.s)
0xffa6f28c,GetCurrentAvValue_FW
