0xff909230,ChangeImagerToWideDraftHD_FW
0xffae8ff4,ChangeIrisSpeed_FW
0xffaeb4c4,ChangeParallelMode_FW
0xff880204,ChangeToISCloseControl_FW
0xff9849a4,ChangeUsmSpeed_FW
0xffae9640,ChangeZoomLensMagnificationToPoint_FW
0xffae9638,ChangeZoomLensPointToMagnification_FW
0xffb55878,ChargeStrobe_FW
0xffb558ac,ChargeStrobeForFA_FW
0xff8915ac,CheckAllEventFlag
0xff891564,CheckAnyEventFlag
0xff89889c,CheckSumAll_FW
0xff836048,ClearDUIDFixFlag_FW
0xff835fd8,ClearDurianMode_FW
0xff8917cc,ClearEventFlag
0xff835fd8,ClearFactoryMode_FW
0xff880514,ClearISCalcZData_FW
0xffaeb538,ClearISIComponent_FW
0xffaeb55c,ClearISZData_FW
0xffb522f8,ClearZoomCommonDriveParam_FW
0xff987630,ClearZoomDriveParam_FW
0xff8370dc,Close
0xff81ab8c,close
0xff8370dc,Close_FW
0xff81f734,CloseConsole_FW
0xffacdce0,closedir
0xffae9360,CloseMechaShutterWithTiming_FW
0xffb50b40,CloseMShutter_FW
0xffb79134,CommunicateISCPU_FW
0xffab0540,ConvertAdjImgDrvModeToAdjImgDriveType_FW
0xffab04f4,ConvertAEIntegDrvTypeToAdjImgDriveType_FW
0xffb51588,ConvertApexStdToApex_FW
0xffb51558,ConvertApexToApexStd_FW
0xffb51b24,ConvertCxCyToWBGain_FW
0xffb52a48,ConvertToPositionWithDistanceAndZoomPoint_FW
0xffb504b4,ConvertTvToExposureTime_FW
0xff81f490,CPrintf_FW
0xff81f4ec,CPutChar_FW
0xff86c428,CreateAdjustmentTableMirror_FW
0xff83a778,CreateBinarySemaphore
0xff83ad58,CreateBinarySemaphoreStrictly
0xff89d7d0,CreateController_FW
0xff83a7e0,CreateCountingSemaphore
0xff83a7e0,CreateCountingSemaphore_FW
0xff83ad7c,CreateCountingSemaphoreStrictly
0xff86c438,CreateDefectTableMirror_FW
0xff8914bc,CreateEventFlag
0xff83ad34,CreateEventFlagStrictly
0xff95821c,CreateFADBGSingalID_FW
0xffb5a168,CreateJumptable
0xff83a3b4,CreateMessageQueue
0xff83ad10,CreateMessageQueueStrictly
0xff896704,CreateProxyOfEventProcedure_FW
0xff891988,CreateRecursiveLock
0xff83ada0,CreateRecursiveLockStrictly
0xff81e8a0,CreateTask
0xff81e8a0,CreateTask_FW
0xff83acdc,CreateTaskStrictly
0xffa6cafc,CrossDefDetect_FW
0xff97d83c,CzDebugPrint_FW
0xff97d844,CzDebugPrintToFile_FW
0xff81eb78,DebugAssert
0xffb79198,DelaySet_FW
0xff89d88c,DeleteController_FW
0xff836b38,DeleteDirectory_Fut
0xff891514,DeleteEventFlag
0xff836a54,DeleteFile_Fut
0xff83a438,DeleteMessageQueue
0xff89675c,DeleteProxyOfEventProcedure_FW
0xff8919d8,DeleteRecursiveLock
0xff83a838,DeleteSemaphore
0xff83a838,DeleteSemaphore_FW
0xffb59fc8,DevelopStillPicture_FW
0xffa6cfe8,DevelopTool.DevelopTest_FW
0xff957f84,DeviceUniqueIDCheckSum_FW
0xff95a994,DisableDebugLogMode_FW
