0xffa9aef0,GetAEIntegralValueWithFix_FW
0xffa9b238,GetAEIntegValueBit_FW
0xffa9ac38,GetAEIntegWinData_FW
0xffa9ad80,GetAEIntegWinDataWithMode_FW
0xffa9b014,GetAllAEIntegralAllValueWithFix_FW
0xff821b9c,GetBatteryCoverClose_FW
0xff848cf4,GetBatteryTemperature
0xff848cf4,GetBatteryTemperature_FW
0xff8705e4,GetBuildDate_FW
0xff8705ec,GetBuildTime_FW
0xffaa3b9c,GetCaptureInfoData_FW
0xff848c84,GetCCDTemperature
0xff848c84,GetCCDTemperature_FW
0xffa9bb80,GetCdsGainValue_FW
0xffa9bc70,GetCdsPreGain_FW
0xffa9bcc8,GetCdsPreGainReg_FW
0xff81bb6c,GetCh_FW
0xffaa234c,GetContinuousMovieJpegVRAMData_FW
0xffaa19e4,GetContinuousVRAMData_FW
0xffaa2188,GetContinuousVRAMDataWithRingBuffer_FW
0xffa9ba08,GetCurrentAdjImgDriveType_FW
0xff928280,GetCurrentAvValue
0xff928280,GetCurrentAvValue_FW
0xff8800f8,GetCurrentCaptureModeType_FW
0xff848c84,GetCurrentCcdTemp_FW
0xff89403c,GetCurrentExposureTime_FW
0xff9273ac,GetCurrentFocusLensPosition_FW
0xff9273ac,GetCurrentFocusPosition_FW
0xffa9ba14,GetCurrentImgDrvMode_FW
0xff8fb9a0,GetCurrentMaximumLogSize_FW
0xff848d64,GetCurrentOptTemp_FW
0xff893d64,GetCurrentShutterSpeed_FW
0xff927344,GetCurrentTargetDistance_FW
0xffa9d4a4,GetCurrentZoomLensDirection_FW
0xff92b9cc,GetCurrentZoomLensPoint_FW
0xff92b9a4,GetCurrentZoomLensPosition_FW
0xff92b9cc,GetCurrentZoomPoint_FW
0xff92b9a4,GetCurrentZoomPosition_FW
0xffaa2a08,GetDay_FW
0xff84f9fc,GetdccdFilterValue_FW
0xff84f968,GetdccdImage_FW
0xff9d83e4,GetDefectCount_FW
0xff821b98,GetDialEventId_FW
0xff8554ac,GetDrive_ClusterSize
0xff855514,GetDrive_FreeClusters
0xff85557c,GetDrive_TotalClusters,(stubs_entry_2.s)
0xff869540,GetEventFlagValue
0xffaa0798,GetExStrobeID_FW
0xff8705f4,GetFirmwareVersion_FW
0xff927814,GetFocusDefaultResetPosition_FW
0xffa2e984,GetFocusLensCurrentPosition_FW
0xffa2ee38,GetFocusLensDriveVoltage_FW
0xffa2ef00,GetFocusLensHoldVoltage_FW
0xffa3a7a8,GetFocusLensLoadCamTable_FW
0xffa3a73c,GetFocusLensLoadSubjectDistance_FW
0xffa3a890,GetFocusLensMoveMaxPosition_FW
0xffa3a8a8,GetFocusLensMoveMinPosition_FW
0xffa3a734,GetFocusLensPositionRatio_FW
0xff926fc0,GetFocusLensPullInMaxSpeed_FW
0xffa2e194,GetFocusLensResetDefaultPosition_FW
0xffa2e184,GetFocusLensResetPosition_FW
0xffaba0b8,GetFocusLensResetVoltage_FW
0xffa2eeb4,GetFocusLensSettingWaitVoltage_FW
0xff927344,GetFocusLensSubjectDistance
0xffa3a710,GetFocusLensSubjectDistance_FW
0xff92772c,GetFocusLensSubjectDistanceFromLens
0xffa3a72c,GetFocusLensSubjectDistanceNumber_FW
