0xffc467fc,PT_BatLvChange_Low_FW
0xffc46804,PT_BatLvChange_SysLow_FW
0xffc4680c,task_PT_BatTestTask
0xffc46888,PT_StartBatteryTest_FW
0xffc468c4,PT_FinishBatteryTest_FW
0xffc468e0,PT_GetBatteryLevel_FW
0xffc468f4,PT_GetPreWeakBatLv_FW
0xffc4694c,PT_GetWeakBatLv_FW
0xffc469a4,PT_GetLowBatLv_FW
0xffc469fc,PT_GetSysLowBatLv_FW
0xffc46ac8,PT_EraseAllFile_FW
0xffc46af0,PT_mod_FW
0xffc46b18,PT_GetSystemTime_FW
0xffc46b2c,PT_SetPropertyCaseInt_FW
0xffc46b58,PT_GetPropertyCaseInt_FW
0xffc46bd0,PT_GetLocalDateAndTimeString_FW
0xffc46c14,PT_PlaySound_FW
0xffc46c30,PT_LCD_BkColorDef_FW
0xffc46cb4,PT_MoveOpticalZoomToTele_FW
0xffc46cc8,PT_MoveOpticalZoomToWide_FW
0xffc46cdc,PT_MoveOpticalZoomAt
0xffc46cdc,PT_MoveOpticalZoomAt_FW
0xffc46cf4,PT_MoveDigitalZoomToTele_FW
0xffc46d04,PT_MoveDigitalZoomToWide
0xffc46d04,PT_MoveDigitalZoomToWide_FW
0xffc46d14,PT_MoveDigitalZoomAt_FW
0xffc46d28,PT_ChangeZoomSpeed_FW
0xffc46d3c,PT_DoAFLock_FW
0xffc46d4c,PT_UnlockAF_FW
0xffc46d5c,PT_DoAELock_FW
0xffc46d6c,PT_UnlockAE_FW
0xffc46d7c,PT_MFOn_FW
0xffc46d8c,PT_MFOff_FW
0xffc46d9c,SS.Create_FW
0xffc48058,task_SsStartupTask
0xffc48dc0,task_CaptSeq
0xffc48dc0,task_CaptSeqTask
0xffc4a0b0,task_MovieCtrlTask
0xffc4cd3c,task_SsTask
0xffc4e2b4,GetLogToFile_FW
0xffc4e4f8,EraseLogSector_FW
0xffc50b5c,UnLoadScript_FW
0xffc50c04,Printf_FW
0xffc50c10,LoadScript_FW
0xffc513f8,time
0xffc51544,LocalTime
0xffc51710,ExMem.View_FW
0xffc51eb8,ExMem.AllocUncacheable_FW
0xffc51ff8,ExMem.FreeUncacheable_FW
0xffc5200c,exmem_alloc
0xffc52074,ExMem.AllocCacheable_FW
0xffc52084,exmem_free
0xffc52180,ExMem.FreeCacheable_FW
0xffc52c58,SetHPTimerAfterNow
0xffc52cd8,SetHPTimerAfterTimeout
0xffc52d60,CancelHPTimer
0xffc536f8,RegisterEventProcedure
0xffc53824,ExecuteEventProcedure
0xffc5389c,ExecuteEventProcedure_FW
0xffc5425c,ExportToEventProcedure_FW
0xffc54268,CreateProxyOfEventProcedure_FW
0xffc542c0,DeleteProxyOfEventProcedure_FW
0xffc544d8,PutsCameraLogEvent_FW
0xffc5451c,ShowCameraLogInfo_FW
0xffc54588,ShowCameraLog_FW
0xffc545d0,StartCameraLog_FW
0xffc54794,StopCameraLog_FW
0xffc547f4,LogCameraEvent
0xffc54b80,task_OpePlay
0xffc54d94,OpLog.Stop_FW
0xffc54dc0,OpLog.ReadFromROM_FW
0xffc54e40,OpLog.ReadFromSD_FW
0xffc551e8,OpLog.WriteToSD_FW
0xffc555f0,OpLog.WriteToROM_FW
0xffc55618,OpLog.Get_FW
0xffc55638,OpLog.Show_FW
0xffc556d4,OpLog.Play_FW
0xffc55808,OpLog.Start_FW
0xffc55fbc,task_WdtPrint
0xffc56070,task_WdtReset
0xffc56130,StartWDT_FW
0xffc56194,StopWDT_FW
0xffc56284,GetBuildDate_FW
0xffc5628c,GetBuildTime_FW
0xffc56294,GetFirmwareVersion_FW
0xffc563a0,CheckSumAll_FW
0xffc56590,RomCheckSum_FW
0xffc56e34,task_EvShel
0xffc56ee8,NewTaskShell
0xffc56f48,NewTaskShell_FW
0xffc57324,SetPropertyCase
0xffc57424,GetPropertyCase
0xffc59c54,FmtMenu_ExecuteQuickFormat_FW
0xffc5a1b0,task_CtrlSrv
0xffc5a938,CreateController_FW
0xffc5a9f4,DeleteController_FW
0xffc5ab78,MoveControllerToTopOfZOrder_FW
0xffc5acbc,GetSelfControllerHandle_FW
0xffc5b0f4,PostLogicalEventForNotPowerType
0xffc5b0f4,PostLogicalEventForNotPowerType_FW
0xffc5b140,PostLogicalEventToUI
0xffc5b140,PostLogicalEventToUI_FW
0xffc5b1b8,PostEventShootSeqToUI_FW
0xffc5b20c,ShowLogicalEventName_FW
0xffc5b574,set_control_event
0xffc5b7b0,IsControlEventActive_FW
0xffc5b820,SetLogicalEventActive
0xffc5b870,SetScriptMode
0xffc5b870,SetScriptMode_FW
0xffc5b898,UiEvnt_StartDisguiseCradleStatus_FW
0xffc5b8a8,UiEvnt_StopDisguiseCradleStatus_FW
0xffc5b9d8,UnlockMainPower
0xffc5b9d8,UnlockMainPower_FW
0xffc5ba84,LockMainPower
0xffc5ba84,LockMainPower_FW
0xffc5baf8,SetAutoShutdownTime
0xffc5baf8,SetAutoShutdownTime_FW
0xffc5bcd0,HardwareDefectWithRestart_FW
0xffc5bd20,HardwareDefect_FW
0xffc5bf34,PTM_AllResetToFactorySetting_FW
0xffc5bf44,j_PTM_AllReset_FW
0xffc5c2ac,PTM_SetCurrentCaptureMode_FW
0xffc5c3c4,j_PTM_GetWorkingCaptureMode_FW
0xffc5c3c8,j_PTM_SetCurrentItem_FW
0xffc5c3d4,PTM_GetCurrentItem_FW
0xffc5c440,j_PTM_NextItem_FW
0xffc5c444,j_PTM_PrevItem_FW
0xffc5c454,j_PTM_IsEnableItem_FW
0xffc5c458,j_PTM_SetProprietyEnable_FW
